,date,0
2012-12-13,2012-10-04,0.0
2012-11-08,2012-10-05,-0.15000000000000036
2012-12-13,2012-10-05,0.0
2012-11-08,2012-10-08,1.1
2012-12-13,2012-10-08,0.0
2012-11-08,2012-10-09,0.19999999999999973
2012-12-13,2012-10-09,0.0
2012-11-08,2012-10-10,1.6300000000000001
2012-12-13,2012-10-10,0.0
2012-12-13,2012-10-11,0.0
2012-12-13,2012-10-12,0.0
2012-12-13,2012-10-15,0.0
2012-12-13,2012-10-16,0.0
2012-12-13,2012-10-17,0.0
2012-12-13,2012-10-18,0.0
2012-12-13,2012-10-19,0.0
2012-12-13,2012-10-22,0.0
2012-12-13,2012-10-23,0.0
2012-12-13,2012-10-24,0.0
2012-12-13,2012-10-25,0.0
2012-12-13,2012-10-26,0.0
2012-12-13,2012-10-29,0.0
2012-12-13,2012-10-30,0.0
2012-12-13,2012-10-31,0.0
2012-12-13,2012-11-01,0.0
2012-12-13,2012-11-02,0.0
2012-12-13,2012-11-05,0.0
2012-12-13,2012-11-06,0.0
2012-12-13,2012-11-07,0.0
2012-12-13,2012-11-08,0.0
2012-12-13,2012-11-09,0.0
2013-01-10,2012-11-09,0.0
2012-12-13,2012-11-12,0.0
2013-01-10,2012-11-12,0.20000000000000018
2012-12-13,2012-11-13,0.0
2013-01-10,2012-11-13,0.5999999999999996
2012-12-13,2012-11-14,0.0
2013-01-10,2012-11-14,-0.04999999999999982
2012-12-13,2012-11-15,0.0
2013-01-10,2012-11-15,1.17
2012-12-13,2012-11-16,0.0
2013-01-10,2012-11-16,0.31000000000000005
2012-12-13,2012-11-19,0.0
2012-12-13,2012-11-20,0.0
2012-12-13,2012-11-21,0.0
2012-12-13,2012-11-22,0.0
2012-12-13,2012-11-23,0.0
2012-12-13,2012-11-26,0.0
2012-12-13,2012-11-27,0.0
2012-12-13,2012-11-28,0.0
2012-12-13,2012-11-29,0.0
2012-12-13,2012-11-30,0.0
2012-12-13,2012-12-03,0.0
2012-12-13,2012-12-04,0.0
2012-12-13,2012-12-05,0.0
2012-12-13,2012-12-06,0.0
2012-12-13,2012-12-07,0.0
2012-12-13,2012-12-10,0.0
2012-12-13,2012-12-11,0.0
2012-12-13,2012-12-12,0.0
2012-12-13,2012-12-13,0.0
2013-02-14,2012-12-21,0.0
2013-02-14,2012-12-24,-0.05000000000000071
2013-02-14,2012-12-26,0.15000000000000036
2013-02-14,2012-12-27,-0.34999999999999964
2013-02-14,2012-12-28,-0.8000000000000007
2013-02-14,2013-01-02,-3.0
2013-03-14,2013-01-10,0.0
2013-03-14,2013-01-11,0.7000000000000002
2013-04-11,2013-02-05,0.0
2013-04-11,2013-02-06,0.34999999999999964
2013-04-11,2013-02-07,0.3999999999999999
2013-04-11,2013-02-08,-1.4999999999999996
2013-05-09,2013-03-07,0.0
2013-05-09,2013-03-08,0.20000000000000018
2013-05-09,2013-03-11,0.04999999999999982
2013-05-09,2013-03-12,0.6999999999999997
2013-05-09,2013-03-13,-0.10000000000000009
2013-05-09,2013-03-14,0.15000000000000036
2013-05-09,2013-03-15,0.5499999999999998
2013-05-09,2013-03-18,0.9199999999999999
2013-06-13,2013-04-01,0.0
2013-06-13,2013-04-02,0.0
2013-06-13,2013-04-03,0.0
2013-06-13,2013-04-04,0.0
2013-06-13,2013-04-05,0.0
2013-06-13,2013-04-08,0.0
2013-06-13,2013-04-09,0.0
2013-06-13,2013-04-10,0.0
2013-06-13,2013-04-11,0.0
2013-06-13,2013-04-12,0.0
2013-06-13,2013-04-15,0.0
2013-06-13,2013-04-16,0.0
2013-06-13,2013-04-17,0.0
2013-06-13,2013-04-18,0.0
2013-06-13,2013-04-19,0.0
2013-06-13,2013-04-22,0.0
2013-06-13,2013-04-23,0.0
2013-06-13,2013-04-24,0.0
2013-06-13,2013-04-25,0.0
2013-06-13,2013-04-26,0.0
2013-06-13,2013-04-29,0.0
2013-06-13,2013-04-30,0.0
2013-06-13,2013-05-02,0.0
2013-06-13,2013-05-03,0.0
2013-06-13,2013-05-06,0.0
2013-06-13,2013-05-07,0.0
2013-06-13,2013-05-08,0.0
